id,attr_time,,attr_x,attr_y,attr_z
144,1.54718E+12,2018-01-11 14:52:07,-0.161316,2.77457,8.87352
145,1.54718E+12,2018-01-11 14:52:07,-0.203003,2.74272,8.94493
146,1.54718E+12,2018-01-11 14:52:07,-0.15361,2.71982,8.97691
147,1.54718E+12,2018-01-11 14:52:07,-0.239517,2.70222,8.99904
148,1.54718E+12,2018-01-11 14:52:07,-0.29274,2.75468,8.99191
149,1.54718E+12,2018-01-11 14:52:07,-0.204636,2.73897,8.89433
150,1.54718E+12,2018-01-11 14:52:07,-0.18576,2.75232,8.81647
151,1.54718E+12,2018-01-11 14:52:07,-0.191544,2.75812,8.9577
152,1.54718E+12,2018-01-11 14:52:07,-0.161575,2.7473,8.89223
153,1.54718E+12,2018-01-11 14:52:07,-0.237411,2.7681,8.79988
154,1.54718E+12,2018-01-11 14:52:07,-0.287308,2.72983,8.90054
155,1.54718E+12,2018-01-11 14:52:07,-0.229965,2.58598,9.2697
156,1.54718E+12,2018-01-11 14:52:08,-0.154205,2.42018,9.38683
157,1.54718E+12,2018-01-11 14:52:08,-0.228531,3.04877,8.59596
158,1.54718E+12,2018-01-11 14:52:08,-0.176666,3.02243,8.46988
159,1.54718E+12,2018-01-11 14:52:08,-0.233353,2.68289,9.38458
160,1.54718E+12,2018-01-11 14:52:08,-0.263107,2.68002,9.22972
161,1.54718E+12,2018-01-11 14:52:08,-0.114929,2.57507,8.87445
162,1.54718E+12,2018-01-11 14:52:08,-0.130554,2.62906,8.92706
163,1.54718E+12,2018-01-11 14:52:08,-0.193024,2.68297,9.0022
164,1.54718E+12,2018-01-11 14:52:08,-0.229858,2.71341,8.95113
165,1.54718E+12,2018-01-11 14:52:08,-0.279541,2.75034,8.80345
166,1.54718E+12,2018-01-11 14:52:08,-0.238251,2.7254,8.9032
167,1.54718E+12,2018-01-11 14:52:08,-0.112732,2.65793,8.99779
168,1.54718E+12,2018-01-11 14:52:08,-0.110062,2.63832,8.97105
169,1.54718E+12,2018-01-11 14:52:08,-0.182648,2.69878,9.05589
170,1.54718E+12,2018-01-11 14:52:08,-0.210693,2.71982,9.06378
171,1.54718E+12,2018-01-11 14:52:08,-0.218216,2.74478,8.93771
172,1.54718E+12,2018-01-11 14:52:08,-0.145355,2.76938,8.77576
173,1.54718E+12,2018-01-11 14:52:08,-0.145065,2.75812,8.77516
174,1.54718E+12,2018-01-11 14:52:08,-0.135681,2.74055,8.89683
175,1.54718E+12,2018-01-11 14:52:08,-0.160538,2.6888,8.99764
176,1.54718E+12,2018-01-11 14:52:08,-0.217453,2.71982,9.05966
177,1.54718E+12,2018-01-11 14:52:08,-0.262604,2.71982,9.01886
178,1.54718E+12,2018-01-11 14:52:08,-0.193909,2.70123,8.92795
179,1.54718E+12,2018-01-11 14:52:08,-0.193161,2.69626,9.01697
180,1.54718E+12,2018-01-11 14:52:08,-0.106018,2.6815,8.96478
181,1.54718E+12,2018-01-11 14:52:08,-0.162598,2.73882,8.8826
182,1.54718E+12,2018-01-11 14:52:08,-0.191864,2.75812,8.79182
183,1.54718E+12,2018-01-11 14:52:08,-0.232986,2.76282,8.8361
184,1.54718E+12,2018-01-11 14:52:08,-0.258072,2.81558,8.95689
185,1.54718E+12,2018-01-11 14:52:08,-0.158447,2.7552,8.94183
186,1.54718E+12,2018-01-11 14:52:08,-0.0218048,2.70065,8.86989
187,1.54718E+12,2018-01-11 14:52:08,-0.0531921,2.70651,8.95915
188,1.54718E+12,2018-01-11 14:52:08,0.0216522,2.65483,8.91638
189,1.54718E+12,2018-01-11 14:52:08,-0.11972,2.46268,8.90213
190,1.54718E+12,2018-01-11 14:52:08,-0.30484,3.16492,9.1015
191,1.54718E+12,2018-01-11 14:52:08,-0.254349,2.96754,9.37994
192,1.54718E+12,2018-01-11 14:52:08,-0.1492,2.86043,9.28392
193,1.54718E+12,2018-01-11 14:52:08,-0.0172882,2.76964,8.82999
194,1.54718E+12,2018-01-11 14:52:08,0.00740051,2.71747,8.72899
195,1.54718E+12,2018-01-11 14:52:08,-0.142181,2.71521,8.87354
