id,attr_time,attr_x,attr_y,attr_z
335,1547182331084,-0.334396,3.10645,8.86456
336,1547182331099,-0.3069,3.08415,8.69751
337,1547182331131,-0.306458,3.11728,8.72919
338,1547182331148,-0.35527,3.10289,8.79189
339,1547182331164,-0.416977,3.11761,8.79593
340,1547182331195,-0.400314,3.12204,8.81259
341,1547182331211,-0.325607,3.12204,8.88728
342,1547182331227,-0.325607,3.12204,8.89777
343,1547182331243,-0.294754,3.1992,8.72124
344,1547182331274,-0.289749,3.19377,8.62766
345,1547182331290,-0.338074,3.12825,8.79056
346,1547182331306,-0.352737,3.10759,8.93532
347,1547182331322,-0.312439,3.0999,9.08006
348,1547182331355,-0.206726,3.11606,9.21216
349,1547182331370,-0.172379,3.02296,8.82553
350,1547182331386,-0.362885,3.21159,8.67297
351,1547182331402,-0.309784,3.38792,9.06427
352,1547182331434,-0.0931244,3.31364,8.42245
353,1547182331451,0.11528,3.19095,7.90651
354,1547182331466,0.0397644,3.1795,8.13823
355,1547182331483,-0.657349,3.30299,8.99776
356,1547182331522,-0.794479,3.5396,9.29024
357,1547182331531,-0.507477,3.78056,8.82724
358,1547182331547,-0.273911,3.71388,8.28778
359,1547182331562,-0.357742,3.41862,8.32332
360,1547182331595,-0.433289,3.59,8.42656
361,1547182331618,-0.451248,3.5834,7.67046
362,1547182331625,-0.792572,3.48686,9.69141
363,1547182331641,-0.537491,3.65759,10.7054
364,1547182331675,-0.429947,3.86372,9.1241
365,1547182331691,-0.188782,3.45738,7.65913
366,1547182331755,-0.659851,3.67557,7.24439
367,1547182331756,-0.871979,4.05801,7.62892
368,1547182331756,-0.597977,3.39502,8.96201
369,1547182331776,-0.442245,3.14738,9.34471
370,1547182331785,-0.304626,3.23187,9.17091
371,1547182331816,-0.140274,3.31297,8.8159
372,1547182331836,-0.328049,3.56989,8.677
373,1547182331846,-0.63591,3.62386,8.7034
374,1547182331862,-0.854187,3.65027,8.64635
375,1547182331894,-0.755615,3.53198,8.46451
376,1547182331909,-0.471008,3.44765,8.39975
377,1547182331925,-0.241638,3.39873,8.60365
378,1547182331941,-0.241058,3.28519,8.58679
379,1547182331974,-0.515961,3.40514,8.70592
380,1547182331989,-0.675873,3.50169,8.61023
381,1547182332004,-0.727295,3.56311,8.69797
382,1547182332020,-0.672821,3.50996,8.62886
383,1547182332062,-0.578217,3.40575,8.65863
384,1547182332067,-0.626602,3.4066,8.87907
385,1547182332083,-0.67038,3.44218,8.79414
386,1547182332099,-0.633026,3.44765,8.47261
387,1547182332131,-0.679367,3.49611,8.53449
388,1547182332146,-0.689758,3.41946,8.73361
389,1547182332162,-0.583755,3.37103,8.7146
390,1547182332194,-0.440536,3.31357,8.52544
391,1547182332211,-0.461472,3.32925,8.70798
392,1547182332227,-0.568069,3.38121,8.78133
393,1547182332242,-0.658432,3.42052,8.74203
394,1547182332275,-0.690536,3.46878,8.58382
395,1547182332290,-0.684814,3.50511,8.65022
396,1547182332305,-0.632065,3.43947,8.63284
397,1547182332324,-0.616165,3.39018,8.67953
398,1547182332353,-0.552002,3.38326,8.69574
399,1547182332369,-0.564087,3.32027,8.74937
400,1547182332385,-0.616211,3.30937,8.76724
401,1547182332402,-0.643723,3.27777,8.59836
402,1547182332435,-0.689529,3.39511,8.5666
403,1547182332451,-0.689529,3.43593,8.60742
404,1547182332465,-0.677124,3.47247,8.66878
405,1547182332483,-0.653,3.50334,8.73053
406,1547182332515,-0.648041,3.48276,8.69255
407,1547182332531,-0.689011,3.34662,8.79861
408,1547182332546,-0.739853,3.28726,8.9639
409,1547182332562,-0.528503,3.27527,8.76456
410,1547182332596,-0.520523,3.30577,8.56166
411,1547182332610,-0.655609,3.3858,8.56166
412,1547182332626,-0.487946,3.35905,8.50612
413,1547182332641,-0.251953,3.10641,8.35306
414,1547182332674,-0.188187,3.02246,8.66971
415,1547182332690,-0.135117,2.86324,9.0316
416,1547182332704,-0.355896,2.83473,9.05864
417,1547182332736,-0.384399,2.91222,9.04051
418,1547182332757,-0.413467,2.92799,9.02428
419,1547182332768,-0.313614,2.86264,8.94151
420,1547182332783,-0.302673,2.8846,8.93715
421,1547182332816,-0.329041,2.85274,8.92331
422,1547182332833,-0.395386,2.82242,8.88113
423,1547182332850,-0.43251,2.80754,8.946
424,1547182332864,-0.40834,2.83167,9.0183
425,1547182332896,-0.362015,2.81366,8.89494
426,1547182332914,-0.358551,2.8102,8.83972
427,1547182332927,-0.406799,2.9059,9.11536
428,1547182332943,-0.387726,2.89915,9.23204
429,1547182332976,-0.459686,2.881,8.94592
430,1547182332990,-0.436813,2.94574,8.66153
431,1547182333004,-0.402222,2.9814,8.64381
432,1547182333019,-0.367096,2.93524,8.905
433,1547182333054,-0.30986,2.87186,8.89627
434,1547182333070,-0.392502,2.79399,8.94931
435,1547182333085,-0.438843,2.88225,9.17216
436,1547182333100,-0.330032,2.85652,8.48204
437,1547182333134,-0.660858,3.05904,8.3929
438,1547182333150,-0.702911,3.125,9.96231
439,1547182333194,-0.353516,2.77194,9.66438
440,1547182333194,-0.420624,2.89108,8.85262
441,1547182333215,-0.454254,3.24609,8.34582
442,1547182333239,-0.296112,3.18983,8.40222
443,1547182333271,-0.356995,3.18819,8.71585
444,1547182333281,-0.441803,3.04478,8.6339
445,1547182333299,-0.456451,3.06546,8.55461
446,1547182333312,-0.328232,3.09691,8.70831
447,1547182333320,-0.29924,2.88997,8.87395
448,1547182333353,-0.44191,3.06593,9.10078
449,1547182333369,-0.466034,3.06471,8.83661
450,1547182333385,-0.512711,3.10527,8.7792
451,1547182333400,-0.503769,3.14406,8.87578
452,1547182333433,-0.323517,3.11363,8.76396
453,1547182333448,-0.313538,3.0242,8.74525
454,1547182333464,-0.373795,3,8.86597
455,1547182333480,-0.436264,3.02412,8.78519
456,1547182333511,-0.476013,3.16034,8.65744
457,1547182333528,-0.444077,3.15253,8.63402
458,1547182333543,-0.446945,3.09006,8.71501
459,1547182333560,-0.44194,2.99355,8.9499
460,1547182333592,-0.456116,2.91849,8.98791
461,1547182333608,-0.414902,2.96674,8.87433
462,1547182333623,-0.342529,2.93388,8.91882
463,1547182333639,-0.399582,2.89285,9.05635
464,1547182333671,-0.498001,2.87305,8.94292
465,1547182333687,-0.416916,2.85501,8.78705
466,1547182333702,-0.282852,2.83473,8.65298
467,1547182333734,-0.383667,2.87282,8.48476
468,1547182333750,-0.495941,2.80043,8.48918
469,1547182333765,-0.443192,2.6479,9.0856
470,1547182333782,-0.707886,2.57741,9.45357
471,1547182333813,-0.450775,2.43251,8.98143
472,1547182333834,-0.283707,2.47299,9.02571
473,1547182333848,-0.428452,2.58809,9.35272
474,1547182333861,-0.447388,2.58916,9.44617
475,1547182333894,-0.343231,2.3942,9.28236
476,1547182333910,-0.3517,2.44635,8.83963
477,1547182333926,-0.471191,2.5704,8.50421
478,1547182333942,-0.566559,2.5528,8.64702
479,1547182333976,-0.623062,2.54066,8.98642
480,1547182333991,-0.548203,2.45367,9.1772
481,1547182334005,-0.560776,2.36974,9.21289
482,1547182334021,-0.557419,2.45909,9.02368
483,1547182334059,-0.580658,2.38815,9.02335
484,1547182334070,-0.644897,2.37187,9.19223
485,1547182334085,-0.702499,2.40717,9.25738
486,1547182334101,-0.672821,2.44922,9.07182
487,1547182334134,-0.58667,2.37129,8.99056
488,1547182334151,-0.42659,2.33847,9.18684
489,1547182334165,-0.199509,2.27647,9.16605
490,1547182334181,-0.078064,2.16673,8.91075
491,1547182334216,-0.290207,2.26894,9.46175
492,1547182334229,-0.400955,2.36324,9.55159
493,1547182334248,-0.469345,2.53333,9.26991
494,1547182334279,-0.343491,2.54691,8.82958
495,1547182334289,-0.222855,2.50912,8.85774
496,1547182334306,-0.163437,2.52953,8.89123
497,1547182334321,-0.142044,2.56261,8.71962
498,1547182334353,-0.0161743,2.63722,8.54251
499,1547182334369,-0.0333099,2.51634,8.62605
500,1547182334385,-0.300949,2.5556,8.87631
501,1547182334401,-0.351257,2.65262,9.08472
502,1547182334433,-0.316956,2.7355,9.2827
503,1547182334449,-0.209732,2.67383,8.95431
504,1547182334470,-0.172379,2.62404,8.82982
505,1547182334479,-0.155746,2.65733,8.99631
506,1547182334512,-0.160645,2.67656,9.09492
507,1547182334528,-0.195877,2.6506,8.90027
508,1547182334544,-0.147614,2.64996,8.8546
509,1547182334560,-0.186249,2.69534,8.92029
510,1547182334591,-0.22345,2.62083,8.93842
511,1547182334609,-0.191544,2.62941,8.96132
512,1547182334623,-0.125793,2.66235,8.90643
513,1547182334646,-0.113907,2.69858,8.96082
514,1547182334674,-0.180267,2.72035,9.02135
515,1547182334686,-0.175049,2.78751,8.99461
516,1547182334702,-0.134079,2.72171,8.93613
517,1547182334718,-0.171799,2.62521,8.96332
518,1547182334751,-0.16777,2.72443,8.97452
519,1547182334767,-0.153229,2.72945,8.87776
520,1547182334782,-0.123993,2.71982,8.912
521,1547182334816,-0.171509,2.71805,9.03832
522,1547182334830,-0.139221,2.65858,8.9704
523,1547182334845,-0.153229,2.70065,9.04051
524,1547182334863,-0.276062,2.76205,9.14798
525,1547182334892,-0.185654,2.85506,9.06703
526,1547182334908,-0.114227,2.87305,8.81963
527,1547182334924,-0.14212,2.85078,8.69884
528,1547182334940,-0.182373,2.81863,9.00464
529,1547182334974,-0.212616,2.76003,9.15352
530,1547182334988,-0.209183,2.77037,8.89502
531,1547182335004,-0.18425,2.74625,8.80795
532,1547182335019,-0.124222,2.70529,9.14966
533,1547182335052,-0.0739746,2.75015,9.63016
534,1547182335069,-0.065094,2.67778,9.11452
535,1547182335083,-0.227783,3.09669,8.84744
536,1547182335099,-0.131119,3.22751,8.73108
537,1547182335132,0.0281372,2.92828,8.33404
538,1547182335149,0.0393677,2.99875,8.38063
539,1547182335165,0.168259,2.90796,8.60919
540,1547182335182,-0.0830688,2.92795,8.63828
541,1547182335212,-0.398102,3.14679,8.98305
542,1547182335227,-0.319397,3.24605,8.91937
543,1547182335245,-0.192718,3.24204,8.58163
544,1547182335260,-0.21048,3.06557,8.56123
545,1547182335293,-0.158203,3.03592,8.39558
546,1547182335308,-0.463699,3.17175,8.60648
547,1547182335322,-0.571152,3.17166,10.2628
548,1547182335358,-0.39122,3.09373,9.40955
549,1547182335371,-0.524841,3.31511,8.3311
550,1547182335437,-0.340393,3.14233,8.14375
551,1547182335438,-0.452469,3.47107,8.53957
552,1547182335439,-0.329788,3.11801,8.96246
553,1547182335448,-0.134079,2.82825,9.20642
554,1547182335464,-0.111511,2.89902,9.07405
555,1547182335490,-0.160873,3.02815,8.78488
556,1547182335523,-0.285217,3.30936,8.65559
557,1547182335532,-0.296448,3.26111,8.5275
558,1547182335542,-0.380905,3.16469,8.78065
559,1547182335563,-0.334167,3.03696,8.98938
560,1547182335592,-0.21283,2.9986,9.02918
561,1547182335606,-0.0680847,2.94183,8.87019
562,1547182335622,-0.0127869,2.95605,8.55512
563,1547182335639,-0.143433,2.98656,8.62569
564,1547182335671,-0.210693,2.98796,8.77104
565,1547182335688,-0.219223,2.97943,8.90013
566,1547182335703,-0.189301,2.94176,9.00446
567,1547182335718,-0.0614471,2.912,8.85495
568,1547182335750,-0.134079,2.9348,8.81067
569,1547182335765,-0.134079,2.9218,8.84781
570,1547182335782,-0.219604,2.86368,8.90155
571,1547182335814,-0.172272,2.87292,8.96372
572,1547182335829,-0.104843,2.7954,8.88327
573,1547182335849,-0.106628,2.77896,8.97559
574,1547182335860,-0.209,2.86053,8.99139
575,1547182335892,-0.244141,2.8922,8.9566
576,1547182335908,-0.134079,2.88663,8.79709
577,1547182335924,-0.165283,2.87305,8.90427
578,1547182335939,-0.175827,2.85731,8.93588
579,1547182335971,-0.132568,2.8317,8.85805
